province;regencies;wasteperday
ACEH;KABUPATEN ACEH SELATAN;96.49
ACEH;KABUPATEN ACEH TENGGARA;91.32
ACEH;KABUPATEN ACEH TIMUR;173.14
ACEH;KABUPATEN ACEH BARAT;101.43
ACEH;KABUPATEN PIDIE;177.80
ACEH;KABUPATEN SIMEULUE;44.61
ACEH;KABUPATEN ACEH SINGKIL;52.77
ACEH;KABUPATEN ACEH BARAT DAYA;77.67
ACEH;KABUPATEN GAYO LUES;41.06
ACEH;KABUPATEN ACEH JAYA;47.21
ACEH;KABUPATEN NAGAN RAYA;69.36
ACEH;KABUPATEN ACEH TAMIANG;120.72
ACEH;KABUPATEN BENER MERIAH;65.99
ACEH;KABUPATEN PIDIE JAYA;79.53
ACEH;KOTA BANDA ACEH;252.21
ACEH;KOTA SABANG;17.28
ACEH;KOTA LANGSA;94.44
ACEH;KOTA SUBULUSSALAM;37.07
SUMATERA UTARA;KABUPATEN TAPANULI TENGAH;184.65
SUMATERA UTARA;KABUPATEN NIAS;58.28
SUMATERA UTARA;KABUPATEN LANGKAT;521.44
SUMATERA UTARA;KABUPATEN DELI SERDANG;1,126.61
SUMATERA UTARA;KABUPATEN SIMALUNGUN;510.81
SUMATERA UTARA;KABUPATEN ASAHAN;472.78
SUMATERA UTARA;KABUPATEN TOBA;96.05
SUMATERA UTARA;KABUPATEN HUMBANG HASUNDUTAN;59.33
SUMATERA UTARA;KOTA MEDAN;1,722.60
SUMATERA UTARA;KOTA PEMATANG SIANTAR;241.43
SUMATERA UTARA;KOTA TEBING TINGGI;124.63
SUMATERA UTARA;KOTA PADANGSIDIMPUAN;161.82
SUMATERA BARAT;KABUPATEN PESISIR SELATAN;152.89
SUMATERA BARAT;KABUPATEN SOLOK;157.69
SUMATERA BARAT;KABUPATEN SIJUNJUNG;97.30
SUMATERA BARAT;KABUPATEN TANAH DATAR;128.92
SUMATERA BARAT;KABUPATEN PADANG PARIAMAN;218.06
SUMATERA BARAT;KABUPATEN AGAM;213.68
SUMATERA BARAT;KABUPATEN LIMA PULUH KOTA;153.30
SUMATERA BARAT;KABUPATEN PASAMAN;121.24
SUMATERA BARAT;KABUPATEN DHARMASRAYA;103.65
SUMATERA BARAT;KABUPATEN SOLOK SELATAN;73.94
SUMATERA BARAT;KABUPATEN PASAMAN BARAT;175.00
SUMATERA BARAT;KOTA PADANG;643.76
SUMATERA BARAT;KOTA SOLOK;54.27
SUMATERA BARAT;KOTA SAWAHLUNTO;18.86
SUMATERA BARAT;KOTA PADANG PANJANG;48.95
SUMATERA BARAT;KOTA BUKITTINGGI;125.23
SUMATERA BARAT;KOTA PAYAKUMBUH;100.30
SUMATERA BARAT;KOTA PARIAMAN;38.26
RIAU;KABUPATEN INDRAGIRI HULU;181.30
RIAU;KABUPATEN BENGKALIS;261.88
RIAU;KABUPATEN ROKAN HULU;363.33
RIAU;KABUPATEN ROKAN HILIR;333.10
RIAU;KABUPATEN SIAK;186.67
RIAU;KABUPATEN KUANTAN SINGINGI;139.18
RIAU;KOTA PEKANBARU;976.72
RIAU;KOTA DUMAI;165.92
JAMBI;KABUPATEN MERANGIN;202.13
JAMBI;KABUPATEN SAROLANGUN;117.44
JAMBI;KABUPATEN BUNGO;158.51
JAMBI;KOTA JAMBI;437.50
JAMBI;KOTA SUNGAI PENUH;50.12
SUMATERA SELATAN;KABUPATEN OGAN KOMERING ULU;152.21
SUMATERA SELATAN;KABUPATEN LAHAT;269.61
SUMATERA SELATAN;KABUPATEN MUSI RAWAS;255.50
SUMATERA SELATAN;KABUPATEN MUSI BANYUASIN;257.93
SUMATERA SELATAN;KABUPATEN BANYUASIN;578.73
SUMATERA SELATAN;KABUPATEN OGAN KOMERING ULU TIMUR;282.14
SUMATERA SELATAN;KABUPATEN PENUKAL ABAB LEMATANG ILIR;102.24
SUMATERA SELATAN;KOTA PALEMBANG;1,204.97
SUMATERA SELATAN;KOTA PRABUMULIH;98.41
BENGKULU;KABUPATEN BENGKULU UTARA;189.61
BENGKULU;KABUPATEN SELUMA;105.25
BENGKULU;KABUPATEN LEBONG;80.57
LAMPUNG;KABUPATEN LAMPUNG TENGAH;443.22
LAMPUNG;KABUPATEN TANGGAMUS;365.62
LAMPUNG;KABUPATEN WAY KANAN;192.02
LAMPUNG;KABUPATEN PRINGSEWU;162.73
LAMPUNG;KABUPATEN TULANG BAWANG BARAT;114.49
LAMPUNG;KOTA BANDAR LAMPUNG;786.46
LAMPUNG;KOTA METRO;104.45
KEPULAUAN BANGKA BELITUNG;KABUPATEN BANGKA;133.74
KEPULAUAN BANGKA BELITUNG;KABUPATEN BELITUNG;73.60
KEPULAUAN BANGKA BELITUNG;KABUPATEN BANGKA TENGAH;82.36
KEPULAUAN BANGKA BELITUNG;KABUPATEN BELITUNG TIMUR;50.92
KEPULAUAN RIAU;KABUPATEN BINTAN;55.92
KEPULAUAN RIAU;KABUPATEN KARIMUN;186.32
KEPULAUAN RIAU;KABUPATEN NATUNA;34.18
KEPULAUAN RIAU;KABUPATEN LINGGA;28.43
KEPULAUAN RIAU;KABUPATEN KEPULAUAN ANAMBAS;13.20
KEPULAUAN RIAU;KOTA BATAM;1,132.77
KEPULAUAN RIAU;KOTA TANJUNG PINANG;155.91
DKI JAKARTA;KABUPATEN ADM. KEP. SERIBU;17.89
DKI JAKARTA;KOTA ADM. JAKARTA PUSAT;850.05
DKI JAKARTA;KOTA ADM. JAKARTA UTARA;1,368.44
DKI JAKARTA;KOTA ADM. JAKARTA BARAT;2,023.42
DKI JAKARTA;KOTA ADM. JAKARTA SELATAN;1,954.25
DKI JAKARTA;KOTA ADM. JAKARTA TIMUR;2,313.02
JAWA BARAT;KABUPATEN BANDUNG;1,283.16
JAWA BARAT;KABUPATEN GARUT;1,112.25
JAWA BARAT;KABUPATEN CIAMIS;574.68
JAWA BARAT;KABUPATEN KUNINGAN;599.40
JAWA BARAT;KABUPATEN SUMEDANG;442.72
JAWA BARAT;KABUPATEN INDRAMAYU;1,113.65
JAWA BARAT;KABUPATEN KARAWANG;1,003.94
JAWA BARAT;KABUPATEN BEKASI;2,250.35
JAWA BARAT;KOTA BOGOR;744.46
JAWA BARAT;KOTA SUKABUMI;180.35
JAWA BARAT;KOTA BANDUNG;1,594.18
JAWA BARAT;KOTA BEKASI;1,830.63
JAWA BARAT;KOTA CIMAHI;275.46
JAWA BARAT;KOTA TASIKMALAYA;319.11
JAWA BARAT;KOTA BANJAR;85.67
JAWA TENGAH;KABUPATEN CILACAP;950.84
JAWA TENGAH;KABUPATEN BANYUMAS;536.89
JAWA TENGAH;KABUPATEN PURBALINGGA;509.92
JAWA TENGAH;KABUPATEN KEBUMEN;463.05
JAWA TENGAH;KABUPATEN PURWOREJO;289.57
JAWA TENGAH;KABUPATEN WONOSOBO;366.25
JAWA TENGAH;KABUPATEN BOYOLALI;292.55
JAWA TENGAH;KABUPATEN KLATEN;643.02
JAWA TENGAH;KABUPATEN SUKOHARJO;361.92
JAWA TENGAH;KABUPATEN WONOGIRI;347.72
JAWA TENGAH;KABUPATEN KARANGANYAR;375.52
JAWA TENGAH;KABUPATEN SRAGEN;590.18
JAWA TENGAH;KABUPATEN GROBOGAN;849.37
JAWA TENGAH;KABUPATEN BLORA;383.05
JAWA TENGAH;KABUPATEN REMBANG;252.13
JAWA TENGAH;KABUPATEN KUDUS;448.16
JAWA TENGAH;KABUPATEN JEPARA;412.37
JAWA TENGAH;KABUPATEN DEMAK;722.37
JAWA TENGAH;KABUPATEN SEMARANG;529.92
JAWA TENGAH;KABUPATEN TEMANGGUNG;400.14
JAWA TENGAH;KABUPATEN KENDAL;410.01
JAWA TENGAH;KABUPATEN BATANG;567.28
JAWA TENGAH;KABUPATEN PEKALONGAN;390.60
JAWA TENGAH;KABUPATEN PEMALANG;593.68
JAWA TENGAH;KABUPATEN TEGAL;839.63
JAWA TENGAH;KABUPATEN BREBES;1,005.31
JAWA TENGAH;KOTA MAGELANG;80.51
JAWA TENGAH;KOTA SURAKARTA;376.29
JAWA TENGAH;KOTA SALATIGA;114.16
JAWA TENGAH;KOTA SEMARANG;1,181.06
JAWA TENGAH;KOTA TEGAL;217.44
D.I. YOGYAKARTA;KABUPATEN KULON PROGO;177.34
D.I. YOGYAKARTA;KABUPATEN GUNUNGKIDUL;377.73
D.I. YOGYAKARTA;KOTA YOGYAKARTA;303.13
JAWA TIMUR;KABUPATEN PACITAN;287.67
JAWA TIMUR;KABUPATEN PONOROGO;382.34
JAWA TIMUR;KABUPATEN TRENGGALEK;305.48
JAWA TIMUR;KABUPATEN TULUNGAGUNG;553.83
JAWA TIMUR;KABUPATEN KEDIRI;657.76
JAWA TIMUR;KABUPATEN MALANG;960.59
JAWA TIMUR;KABUPATEN LUMAJANG;524.51
JAWA TIMUR;KABUPATEN JEMBER;1,014.69
JAWA TIMUR;KABUPATEN BANYUWANGI;813.91
JAWA TIMUR;KABUPATEN SITUBONDO;257.24
JAWA TIMUR;KABUPATEN MOJOKERTO;461.16
JAWA TIMUR;KABUPATEN JOMBANG;530.37
JAWA TIMUR;KABUPATEN NGANJUK;444.13
JAWA TIMUR;KABUPATEN MAGETAN;275.75
JAWA TIMUR;KABUPATEN NGAWI;358.07
JAWA TIMUR;KABUPATEN BOJONEGORO;376.09
JAWA TIMUR;KABUPATEN TUBAN;505.31
JAWA TIMUR;KABUPATEN LAMONGAN;228.06
JAWA TIMUR;KABUPATEN GRESIK;391.33
JAWA TIMUR;KABUPATEN SAMPANG;464.41
JAWA TIMUR;KABUPATEN PAMEKASAN;277.10
JAWA TIMUR;KABUPATEN SUMENEP;362.19
JAWA TIMUR;KOTA KEDIRI;178.59
JAWA TIMUR;KOTA BLITAR;75.98
JAWA TIMUR;KOTA MALANG;764.79
JAWA TIMUR;KOTA PROBOLINGGO;97.16
JAWA TIMUR;KOTA PASURUAN;146.02
JAWA TIMUR;KOTA MOJOKERTO;66.91
JAWA TIMUR;KOTA MADIUN;121.15
JAWA TIMUR;KOTA SURABAYA;1,783.68
JAWA TIMUR;KOTA BATU;135.23
BANTEN;KABUPATEN LEBAK;591.47
BANTEN;KABUPATEN TANGERANG;2,305.47
BANTEN;KABUPATEN SERANG;1,135.84
BANTEN;KOTA TANGERANG;1,381.53
BANTEN;KOTA CILEGON;227.86
BANTEN;KOTA SERANG;584.83
BANTEN;KOTA TANGERANG SELATAN;972.63
BALI;KABUPATEN JEMBRANA;162.94
BALI;KABUPATEN BADUNG;327.33
BALI;KABUPATEN GIANYAR;538.90
BALI;KABUPATEN KLUNGKUNG;103.13
BALI;KABUPATEN BANGLI;111.88
BALI;KABUPATEN KARANGASEM;311.54
BALI;KABUPATEN BULELENG;392.56
BALI;KOTA DENPASAR;866.61
NUSA TENGGARA BARAT;KABUPATEN LOMBOK BARAT;288.59
NUSA TENGGARA BARAT;KABUPATEN LOMBOK TENGAH;419.90
NUSA TENGGARA BARAT;KABUPATEN LOMBOK TIMUR;537.56
NUSA TENGGARA BARAT;KABUPATEN SUMBAWA;259.78
NUSA TENGGARA BARAT;KABUPATEN BIMA;276.99
NUSA TENGGARA BARAT;KABUPATEN LOMBOK UTARA;102.59
NUSA TENGGARA BARAT;KOTA MATARAM;264.21
NUSA TENGGARA BARAT;KOTA BIMA;82.71
NUSA TENGGARA TIMUR;KABUPATEN MANGGARAI BARAT;84.86
NUSA TENGGARA TIMUR;KOTA KUPANG;227.93
KALIMANTAN BARAT;KABUPATEN SAMBAS;318.12
KALIMANTAN BARAT;KABUPATEN MEMPAWAH;84.03
KALIMANTAN BARAT;KABUPATEN SANGGAU;246.14
KALIMANTAN BARAT;KABUPATEN KAPUAS HULU;133.33
KALIMANTAN BARAT;KOTA PONTIANAK;401.54
KALIMANTAN BARAT;KOTA SINGKAWANG;93.97
KALIMANTAN TENGAH;KABUPATEN KOTAWARINGIN BARAT;136.27
KALIMANTAN TENGAH;KABUPATEN KAPUAS;211.61
KALIMANTAN TENGAH;KABUPATEN BARITO SELATAN;66.96
KALIMANTAN TENGAH;KABUPATEN BARITO UTARA;61.93
KALIMANTAN TENGAH;KABUPATEN SERUYAN;82.19
KALIMANTAN TENGAH;KABUPATEN GUNUNG MAS;101.53
KALIMANTAN TENGAH;KABUPATEN PULANG PISAU;68.34
KALIMANTAN TENGAH;KABUPATEN MURUNG RAYA;55.73
KALIMANTAN TENGAH;KABUPATEN BARITO TIMUR;46.02
KALIMANTAN TENGAH;KOTA PALANGKARAYA;151.91
KALIMANTAN SELATAN;KABUPATEN TANAH LAUT;141.94
KALIMANTAN SELATAN;KABUPATEN KOTABARU;181.22
KALIMANTAN SELATAN;KABUPATEN BANJAR;408.49
KALIMANTAN SELATAN;KABUPATEN BARITO KUALA;96.38
KALIMANTAN SELATAN;KABUPATEN TAPIN;82.10
KALIMANTAN SELATAN;KABUPATEN HULU SUNGAI SELATAN;96.79
KALIMANTAN SELATAN;KABUPATEN HULU SUNGAI TENGAH;104.30
KALIMANTAN SELATAN;KABUPATEN TABALONG;102.76
KALIMANTAN SELATAN;KABUPATEN TANAH BUMBU;166.42
KALIMANTAN SELATAN;KABUPATEN BALANGAN;56.37
KALIMANTAN SELATAN;KOTA BANJARBARU;183.78
KALIMANTAN TIMUR;KABUPATEN PASER;118.63
KALIMANTAN TIMUR;KABUPATEN KUTAI KARTANEGARA;313.77
KALIMANTAN TIMUR;KABUPATEN BERAU;136.44
KALIMANTAN TIMUR;KABUPATEN KUTAI BARAT;70.24
KALIMANTAN TIMUR;KABUPATEN KUTAI TIMUR;212.81
KALIMANTAN TIMUR;KABUPATEN PENAJAM PASER UTARA;95.98
KALIMANTAN TIMUR;KABUPATEN MAHAKAM ULU;15.30
KALIMANTAN TIMUR;KOTA BALIKPAPAN;514.73
KALIMANTAN TIMUR;KOTA SAMARINDA;587.25
KALIMANTAN TIMUR;KOTA BONTANG;104.24
KALIMANTAN UTARA;KABUPATEN NUNUKAN;42.68
KALIMANTAN UTARA;KABUPATEN TANA TIDUNG;14.19
SULAWESI UTARA;KABUPATEN BOLAANG MONGONDOW;125.24
SULAWESI UTARA;KABUPATEN MINAHASA;174.34
SULAWESI UTARA;KABUPATEN KEPULAUAN SANGIHE;55.87
SULAWESI UTARA;KABUPATEN MINAHASA SELATAN;94.59
SULAWESI UTARA;KABUPATEN MINAHASA UTARA;118.12
SULAWESI UTARA;KABUPATEN MINAHASA TENGGARA;46.14
SULAWESI UTARA;KABUPATEN BOLAANG MONGONDOW UTARA;34.66
SULAWESI UTARA;KABUPATEN KEP. SIAU TAGULANDANG BIARO;29.52
SULAWESI UTARA;KABUPATEN BOLAANG MONGONDOW TIMUR;36.92
SULAWESI UTARA;KABUPATEN BOLAANG MONGONDOW SELATAN;28.91
SULAWESI UTARA;KOTA MANADO;291.07
SULAWESI UTARA;KOTA BITUNG;159.06
SULAWESI UTARA;KOTA TOMOHON;50.71
SULAWESI UTARA;KOTA KOTAMOBAGU;86.20
SULAWESI TENGAH;KABUPATEN BANGGAI;188.40
SULAWESI TENGAH;KABUPATEN DONGGALA;121.19
SULAWESI TENGAH;KABUPATEN MOROWALI;83.96
SULAWESI TENGAH;KABUPATEN PARIGI MOUTONG;226.25
SULAWESI TENGAH;KABUPATEN SIGI;128.79
SULAWESI TENGAH;KABUPATEN BANGGAI LAUT;37.12
SULAWESI TENGAH;KABUPATEN MOROWALI UTARA;61.12
SULAWESI TENGAH;KOTA PALU;202.94
SULAWESI SELATAN;KABUPATEN KEPULAUAN SELAYAR;55.19
SULAWESI SELATAN;KABUPATEN BULUKUMBA;178.92
SULAWESI SELATAN;KABUPATEN BANTAENG;80.99
SULAWESI SELATAN;KABUPATEN JENEPONTO;162.20
SULAWESI SELATAN;KABUPATEN SINJAI;107.73
SULAWESI SELATAN;KABUPATEN BONE;405.80
SULAWESI SELATAN;KABUPATEN MAROS;161.51
SULAWESI SELATAN;KABUPATEN PANGKAJENE KEPULAUAN;141.18
SULAWESI SELATAN;KABUPATEN SOPPENG;94.23
SULAWESI SELATAN;KABUPATEN WAJO;151.86
SULAWESI SELATAN;KABUPATEN SIDENRENG RAPPANG;129.28
SULAWESI SELATAN;KABUPATEN PINRANG;180.44
SULAWESI SELATAN;KABUPATEN ENREKANG;114.36
SULAWESI SELATAN;KABUPATEN LUWU TIMUR;120.20
SULAWESI SELATAN;KABUPATEN TORAJA UTARA;158.49
SULAWESI SELATAN;KOTA PAREPARE;77.78
SULAWESI SELATAN;KOTA PALOPO;93.67
SULAWESI TENGGARA;KABUPATEN KOLAKA;120.61
SULAWESI TENGGARA;KABUPATEN WAKATOBI;80.70
SULAWESI TENGGARA;KABUPATEN KOLAKA UTARA;55.73
SULAWESI TENGGARA;KABUPATEN BUTON SELATAN;21.99
SULAWESI TENGGARA;KOTA KENDARI;269.80
SULAWESI TENGGARA;KOTA BAU BAU;81.98
GORONTALO;KABUPATEN GORONTALO;158.25
GORONTALO;KABUPATEN BONE BOLANGO;49.86
GORONTALO;KABUPATEN POHUWATO;59.08
GORONTALO;KOTA GORONTALO;141.50
SULAWESI BARAT;KABUPATEN MAJENE;70.96
SULAWESI BARAT;KABUPATEN MAMUJU TENGAH;54.95
MALUKU;KABUPATEN MALUKU TENGAH;169.89
MALUKU;KABUPATEN BURU SELATAN;31.11
MALUKU UTARA;KABUPATEN HALMAHERA UTARA;138.35
MALUKU UTARA;KOTA TIDORE KEPULAUAN;46.31
PAPUA;KABUPATEN JAYAPURA;85.92
PAPUA;KABUPATEN KEPULAUAN YAPEN;45.97
PAPUA;KABUPATEN BIAK NUMFOR;58.72
PAPUA;KABUPATEN SARMI;16.74
PAPUA;KABUPATEN WAROPEN;14.48
PAPUA;KOTA JAYAPURA;217.89
PAPUA BARAT;KABUPATEN MANOKWARI;163.36
PAPUA BARAT;KABUPATEN TELUK WONDAMA;18.35
PAPUA BARAT;KABUPATEN KAIMANA;25.45
PAPUA SELATAN;KABUPATEN MERAUKE;92.94
PAPUA SELATAN;KABUPATEN BOVEN DIGOEL;26.08
PAPUA SELATAN;KABUPATEN ASMAT;45.55
PAPUA TENGAH;KABUPATEN MIMIKA;158.20
PAPUA BARAT DAYA;KABUPATEN SORONG;49.76
